Date,V,MA,spread,anchor,anchor_var,residual,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover
2012-01-03,23.3705,34.6389,-7.902612226324912,-7.902612226324912,28.311013307105387,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0
2012-01-04,22.9523,33.5006,-7.629766919715578,-7.766121395782212,14.16258086977136,0.13635447606663398,0.0964171746718557,1.4142135623730947,0.0,0.0,0.0,0.0,1.0,0.0
2012-01-05,23.1233,33.1526,-7.247501201802862,-7.59296014411103,9.452718110959355,0.3454589423081682,0.1871257778257104,1.8461322984048187,0.0,0.0,0.0,0.0,1.0,0.0
2012-01-06,22.8487,32.2585,-6.97930614897021,-7.439010502179984,7.102488366157826,0.45970435320977465,0.24033598018532995,1.912757103015884,0.0,0.0,0.0,0.0,1.0,0.0
2012-01-09,22.667,32.5326,-7.327408256096291,-7.4165564241632005,5.6961013226850925,0.0891481680669095,0.2069442419018253,0.43078351563510303,0.0,-0.0,0.0,-0.0,1.0,0.0
2012-01-10,22.6435,32.8167,-7.523381217185385,-7.434523267574487,4.7616244180128255,-0.08885794961089832,0.19512665607482443,-0.45538601131371986,0.0,-0.0,0.0,-0.0,1.0,0.0
2012-01-11,22.4911,32.1229,-7.254585369231808,-7.40848501345918,4.096798759693958,0.1538996442273719,0.17921254365797662,0.858754867745676,0.0,0.0,0.0,0.0,1.0,0.0
2012-01-12,22.9963,32.2953,-6.854046891554081,-7.337973562089155,3.6004931103597326,0.483926670535074,0.21668115066429283,2.233358411894482,-1.0,0.0,0.001,-0.001,0.999,1.0
2012-01-13,22.8554,31.8975,-6.75344832090558,-7.271563426521168,3.2165218870359356,0.5181151056155882,0.24197680635545787,2.141176724410893,-1.0,-0.0023613410272165145,0.0,-0.0023613410272165145,0.9966410203138107,0.0
2012-01-17,23.263,32.5465,-6.739846743104874,-7.216887922759738,2.9111723646080367,0.47704117965486414,0.2490527001819943,1.9154226366799805,-1.0,-0.0003221603018883595,0.0,-0.0003221603018883595,0.9963199421418322,0.0
2012-01-18,23.5524,33.1496,-6.8165799456139595,-7.179234164589843,2.662989771553322,0.3626542189758837,0.2398179437542139,1.5122063566167634,-1.0,0.0017836010798637182,0.0,0.0017836010798637182,0.9980969794665261,0.0
2012-01-19,23.226,33.1994,-7.173212798349745,-7.178711451748478,2.457669840631416,0.005498653398732678,0.23347589789202855,0.02355126781127336,0.0,0.008165225222032136,0.001,0.007165225222032136,1.005248569117834,1.0
2012-01-20,22.8203,32.0451,-6.878154125399593,-7.154450000942366,2.2853086463252765,0.2762958755427727,0.22159886025283926,1.2468289558327392,0.0,0.0,0.0,0.0,1.005248569117834,0.0
2012-01-23,22.6004,31.8955,-7.0072341501129785,-7.143328186452106,2.138831085504773,0.1360940363391272,0.20962503218168832,0.6492260724910487,0.0,-0.0,0.0,-0.0,1.005248569117834,0.0
2012-01-24,22.919,32.2365,-6.89565027025159,-7.125717106253993,2.0130479676581623,0.23006683600240319,0.19842804053942933,1.1594471999872769,0.0,0.0,0.0,0.0,1.005248569117834,0.0
2012-01-25,22.8154,32.8107,-7.347838704807575,-7.140655968882926,1.9040666978574539,-0.20718273592464964,0.2242817146004822,-0.9237611558914138,0.0,-0.0,0.0,-0.0,1.005248569117834,0.0
2012-01-26,22.8839,32.722,-7.225490230155689,-7.146076387364688,1.8089099553051111,-0.07941384279100117,0.22399333338888666,-0.3545366354860508,0.0,0.0,0.0,0.0,1.005248569117834,0.0
