Date,V,MA,spread,anchor,signal_vol,zscore,position,gross_return,transaction_cost,net_return,equity,turnover,notional_turnover,beta
2012-01-03,23.3705,34.6389,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-04,22.9523,33.5006,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-05,23.1233,33.1526,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-06,22.8487,32.2585,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-09,22.667,32.5326,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-10,22.6435,32.8167,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-11,22.4911,32.1229,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-12,22.9963,32.2953,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-13,22.8554,31.8975,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6070853963009164
2012-01-17,23.263,32.5465,0.481343586384285,0.0,0.39150084409447145,1.2294828827192361,-1.0,0.0,0.0005,-0.0005,0.9995,1.0,1.0,0.6070853963009164
2012-01-18,23.5524,33.1496,0.2960071558041033,0.0,0.3267488583875197,0.9059164193101567,-1.0,0.0017836010798637123,0.0,0.0017836010798637123,1.001282709279324,0.0,0.0,0.6070853963009164
2012-01-19,23.226,33.1994,-0.1062811090682656,0.0,0.2741126476101293,-0.38772785566403095,0.0,0.008165225222032137,0.0004966095783910144,0.007668615643641123,1.0089611615274108,1.0,0.9932191567820289,0.6070853963009164
2012-01-20,22.8203,32.0451,0.1518428562415588,0.0,0.2719537513186794,0.5583407307503073,0.0,0.0,0.0,0.0,1.0089611615274108,0.0,0.0,0.6070853963009164
2012-01-23,22.6004,31.8955,0.025555631642451893,0.0,0.2715184001058252,0.09412117791093165,0.0,0.0,0.0,0.0,1.0089611615274108,0.0,0.0,0.6070853963009164
2012-01-24,22.919,32.2365,0.09396371291936934,0.0,0.2531722906381583,0.37114532827632857,0.0,0.0,0.0,0.0,1.0089611615274108,0.0,0.0,0.6070853963009164
2012-01-25,22.8154,32.8107,-0.37577897287439654,0.0,0.21530388148479748,-1.745342305409994,1.0,0.0,0.0005,-0.0005,1.008456680946647,1.0,1.0,0.6070853963009164
2012-01-26,22.8839,32.722,-0.2563400121301225,0.0,0.21121960173880763,-1.2136184805760137,1.0,0.002863004279418907,0.0,0.002863004279418907,1.0113438967398058,0.0,0.0,0.6070853963009164
2012-01-27,22.9298,32.8127,-0.2274420591700066,0.0,0.22218117615373614,-1.023678347136979,1.0,-0.00021433616032138508,0.0,-0.00021433616032138508,1.0111271291722141,0.0,0.0,0.6070853963009164
2012-01-30,22.663,33.1128,-0.5834092983874593,0.0,0.2888511199905294,-2.0197577852790998,1.0,-0.010478115756317564,0.0,-0.010478115756317564,1.0005324220683947,0.0,0.0,0.6070853963009164
2012-01-31,22.8341,33.4486,-0.5185134008649968,0.0,0.31716401039484093,-1.6348431217637012,1.0,-0.0007660247475867039,0.0,-0.0007660247475867039,0.9997659894723274,0.0,0.0,0.6070853963009164
2012-02-01,23.26,33.6421,-0.1509454692814085,0.0,0.292328731623537,-0.516355229412746,1.0,0.007149446948602176,0.0,0.007149446948602176,1.0069137633750767,0.0,0.0,0.6070853963009164
2012-02-02,24.0633,35.897,-0.6365249728942022,0.0,0.3668911813121078,-1.7349148884358758,1.0,-0.012948028610560406,0.0,-0.012948028610560406,0.9938762151585291,0.0,0.0,0.6070853963009164
2012-02-03,24.2879,36.7194,-0.7741820760191471,0.0,0.427322417688792,-1.8117048017428474,1.0,-0.005989793298681831,0.0,-0.005989793298681831,0.9879231020652532,0.0,0.0,0.6070853963009164
2012-02-06,24.3595,36.8121,-0.636289286310932,0.0,0.45352163155547515,-1.4029965541634821,1.0,0.00032896691003760716,0.0,0.00032896691003760716,0.9882480960754945,0.0,0.0,0.6070853963009164
2012-02-07,24.2762,36.9607,-0.6587228932807729,0.0,0.44563051515090474,-1.4781817467273495,1.0,-0.003714875808018072,0.0,-0.003714875808018072,0.9845768771310637,0.0,0.0,0.6070853963009164
2012-02-08,24.5879,37.1501,-0.3758162304693409,0.0,0.4430371786952333,-0.8482724442588284,1.0,0.0042110698146742,0.0,0.0042110698146742,0.9887229990985765,0.0,0.0,0.6070853963009164
2012-02-09,25.5065,37.2935,0.47099681262006676,0.0,0.42186366600147374,1.1164668839207912,0.0,0.017639437495143365,0.000510666427717414,0.01712877106742595,1.0056586089992348,1.0,1.021332855434828,0.6070853963009164
2012-02-10,25.8445,37.2677,0.8036461598966973,0.0,0.4594353246740834,1.749204113694984,-1.0,0.0,0.0005,-0.0005,1.0051557796947352,1.0,1.0,0.6070853963009164
2012-02-13,25.5729,37.3155,0.467177257456898,0.0,0.4852289338232307,0.962797609317937,-1.0,0.006202265112060872,0.0,0.006202265112060872,1.0113900223193222,0.0,0.0,0.6070853963009164
