window,entry_z,exit_z,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,avg_notional_turnover,active_day_ratio
10,1.0,0.0,0.05010862978880648,0.05698038452598106,0.8866466446460137,-0.11027491503178255,0.515861279170235,260.0,0.24257053536813578,0.8278917910447762
10,1.0,0.25,0.05633792636178803,0.054862245439494216,1.0265456055260949,-0.08860436009754591,0.5940918104600839,297.0,0.2768681375160396,0.7845149253731343
10,1.0,0.5,0.063102497832213,0.051444935436025255,1.2152961992094125,-0.07308278044234884,0.683059972704338,337.0,0.31431715631970447,0.7369402985074627
10,1.0,0.75,0.05118251203027069,0.04893034307150381,1.044681850456438,-0.10083022480589687,0.5291008487853153,371.0,0.34619006499883015,0.6865671641791045
10,1.25,0.0,0.043185399042593664,0.05455858849898409,0.8022792913702064,-0.10153815722428883,0.4329085520086451,233.0,0.21742683688921743,0.761660447761194
10,1.25,0.25,0.05078656139512794,0.05276783233931852,0.9652804054484718,-0.0835612407142019,0.5242074652555588,260.0,0.24244596355586348,0.7103544776119403
10,1.25,0.5,0.053528519283781995,0.049288960067715534,1.0826736280054678,-0.0772831697711377,0.5583795959904367,285.0,0.26585083458425396,0.6497201492537313
10,1.25,0.75,0.04273652593229782,0.046706372671800056,0.9193985629800349,-0.10501414776434692,0.4276713011317679,307.0,0.2864820286668775,0.5942164179104478
10,1.5,0.0,0.035214528268001866,0.051753144165376706,0.6946581010530776,-0.11486530133301853,0.3423857521268414,193.0,0.1801499217372311,0.6567164179104478
10,1.5,0.25,0.04340039235596982,0.05024221845983037,0.8707904474525294,-0.10168776983739636,0.4354229972810397,212.0,0.1977254850013792,0.6068097014925373
10,1.5,0.5,0.043958808893246104,0.04686319817243045,0.9414783854461504,-0.07489381497226077,0.44197213443633077,227.0,0.21178336436854167,0.5401119402985075
10,1.5,0.75,0.035761115578984315,0.04417755405952713,0.8174742336671974,-0.0998599451716522,0.3484279048392569,235.0,0.2193198919280849,0.47947761194029853
10,1.75,0.0,0.03776772908948378,0.04697184251172697,0.8127894406089832,-0.1002842252430085,0.37081596012997453,149.0,0.13913494839127968,0.5163246268656716
10,1.75,0.25,0.04035491653271439,0.04445256156961726,0.9122827303848735,-0.0798034181848476,0.4001653132905547,160.0,0.1493097730702179,0.46548507462686567
10,1.75,0.5,0.040701423044501084,0.04114857638449238,0.9901691418124625,-0.06648817253823047,0.40413792840389995,167.0,0.15587528416933127,0.4099813432835821
10,1.75,0.75,0.034486378876056545,0.03825748515812234,0.9054131811339522,-0.08208362656062207,0.33437367349356006,171.0,0.1595676993119685,0.35867537313432835
10,2.0,0.0,0.0337370073527925,0.04059436672243312,0.8377024478448215,-0.0634309495117702,0.3261721719407138,102.0,0.09527103716957677,0.36847014925373134
10,2.0,0.25,0.03631412317613636,0.03806746939826604,0.9561125697603751,-0.04582349161394328,0.35456544090830744,107.0,0.09981793064048958,0.32742537313432835
10,2.0,0.5,0.03680639824295873,0.034722624238840226,1.0583618736310347,-0.04979860260058988,0.36004966520136494,110.0,0.10265710686315187,0.28544776119402987
10,2.0,0.75,0.02902329140623139,0.03113133293699608,0.9345980008899563,-0.05403204376184645,0.2755951355808488,111.0,0.10356767316596178,0.24300373134328357
20,1.0,0.0,0.06007824167577991,0.060068899971419225,1.0013265881352615,-0.07653616072804603,0.6427573533182234,170.0,0.1585761056298961,0.8274253731343284
20,1.0,0.25,0.04908078903569035,0.05606330599720464,0.8827550951259691,-0.08321695947686814,0.5032841938632713,191.0,0.1783343309933463,0.777518656716418
20,1.0,0.5,0.052167365001002386,0.05413953596789013,0.9664384338640485,-0.06277107244880742,0.5413323993102934,222.0,0.20730176841049175,0.7229477611940298
20,1.0,0.75,0.0577524574125583,0.051301830869161,1.120192920463357,-0.059807266446396556,0.6123446817261899,265.0,0.2474460956543974,0.6814365671641791
20,1.25,0.0,0.045505942205881444,0.05769621222631229,0.8001389924516511,-0.08578490017691687,0.46025493201636825,139.0,0.1296660497953829,0.7509328358208955
20,1.25,0.25,0.03858766306775041,0.05364391948541124,0.7326797120554046,-0.08466105977073168,0.3800580571675778,156.0,0.14559021739114572,0.7028917910447762
20,1.25,0.5,0.046494673639492445,0.05235473853969504,0.894292137131686,-0.07040115860572549,0.47204583263531363,179.0,0.16708985081395744,0.6408582089552238
20,1.25,0.75,0.0524991807285351,0.0495803917648034,1.0568949289553538,-0.06837464736162269,0.5454728429912912,208.0,0.19421560164592427,0.5872201492537313
20,1.5,0.0,0.036252557961217624,0.05495273412207971,0.6754791941706705,-0.08376437076600307,0.3538809442033284,116.0,0.10821603741711296,0.675839552238806
20,1.5,0.25,0.028634592694908756,0.05069935776890838,0.5822532125092809,-0.0799778199676473,0.2715014995565852,127.0,0.11857287235682362,0.6259328358208955
20,1.5,0.5,0.036850023903205686,0.049056334962753585,0.7622511022859745,-0.07055076100534052,0.3605366237029348,144.0,0.13444352490966804,0.5569029850746269
20,1.5,0.75,0.038237003533937,0.04616838705442932,0.8359115018700657,-0.06953738048982883,0.3760988001626726,162.0,0.1512896574410276,0.4986007462686567
20,1.75,0.0,0.030007669840864448,0.05306116128575759,0.5837042334946837,-0.0854778602801255,0.2860143268559665,98.0,0.09138352172068001,0.5965485074626866
20,1.75,0.25,0.022922847736058127,0.04898246453924262,0.4872287402412511,-0.0800194554381134,0.21266987670916526,106.0,0.09895504307703974,0.5513059701492538
20,1.75,0.5,0.030561011994284515,0.046940011135906144,0.6648274014781519,-0.071843285101025,0.29190411032426766,116.0,0.10830240740591561,0.47388059701492535
20,1.75,0.75,0.03479140276574766,0.04358621148353768,0.8064981421110503,-0.0687459784785126,0.3377248055006745,129.0,0.12051751302235295,0.4193097014925373
20,2.0,0.0,0.01972706642337707,0.04949635109964441,0.41936724991931706,-0.11156801264297567,0.18081233480189485,75.0,0.06990044446883235,0.5009328358208955
20,2.0,0.25,0.013790526112574142,0.04542401405350869,0.32426718087495926,-0.09908608522901419,0.12358814864984047,82.0,0.07653957548832013,0.45615671641791045
20,2.0,0.5,0.016086557242953825,0.04258912076234889,0.396042293218828,-0.08885338510846441,0.14542327619067374,86.0,0.08028521489993674,0.38013059701492535
20,2.0,0.75,0.018830591320838197,0.039091855402169855,0.4968130449637251,-0.07553698143877574,0.17200941992979657,92.0,0.0859623994160376,0.32742537313432835
40,1.0,0.0,0.03879390756312051,0.05745843492473853,0.6911122074248801,-0.0631296001159729,0.38239143235766115,105.0,0.09788215811664559,0.7765858208955224
40,1.0,0.25,0.04212334655480543,0.055696964478368804,0.7686411417455973,-0.07372336180108041,0.4205442991942936,124.0,0.11564987054794831,0.7122201492537313
40,1.0,0.5,0.038745093628345106,0.05448817840044643,0.7248718840554306,-0.06952407107458869,0.3818388549981837,140.0,0.13054488936038725,0.6651119402985075
40,1.0,0.75,0.030667099000451614,0.051117400934595214,0.6165298320633231,-0.0746434930238189,0.2930360175651936,161.0,0.15011896300721705,0.625
40,1.25,0.0,0.04219938577230509,0.05590367036791496,0.7673143217958934,-0.07603316962814188,0.4214263965006082,93.0,0.08668689644421283,0.7178171641791045
40,1.25,0.25,0.047329505154622975,0.05385003656223608,0.8856832919976829,-0.07589563419995182,0.48206676814978455,107.0,0.09978077751917414,0.6459888059701493
40,1.25,0.5,0.04200430959352297,0.05266235399694136,0.8076447404734597,-0.06925057253941069,0.41916437410897656,116.0,0.10812119280166423,0.5988805970149254
40,1.25,0.75,0.030607657811019928,0.04901803167821311,0.6396177559039525,-0.07306262664470697,0.29240169535585014,128.0,0.1192794570541902,0.5555037313432836
40,1.5,0.0,0.03008040795364675,0.05407957768449772,0.575033386953393,-0.07232328553155187,0.2867871973934055,72.0,0.06715285484095525,0.6427238805970149
40,1.5,0.25,0.037589235090956796,0.05206388150242246,0.7347619902990181,-0.07285371711763222,0.36881127370116307,84.0,0.07836181443333319,0.5792910447761194
40,1.5,0.5,0.03533937005095966,0.050824322069037385,0.7087124732018552,-0.07115613993256242,0.3437636841551368,92.0,0.08577050248843125,0.5317164179104478
40,1.5,0.75,0.0253728843675447,0.04710917925269357,0.5554862955479513,-0.07320744280015457,0.23760457425101333,101.0,0.0941478262644244,0.49300373134328357
40,1.75,0.0,0.02785037899577336,0.05293882569342628,0.5453255411427078,-0.06883836332426474,0.26327771434325187,64.0,0.05972706154397843,0.5998134328358209
40,1.75,0.25,0.03071110157673762,0.05072484894076488,0.6216629978823909,-0.07285371711763144,0.293505764721107,71.0,0.0662790424115595,0.5303171641791045
40,1.75,0.5,0.02697916341249229,0.04938821546531901,0.5636812431554242,-0.0692409320374261,0.25419663915546065,75.0,0.0699510751223386,0.47527985074626866
40,1.75,0.75,0.01541790442073565,0.045934906941774406,0.35609052250803075,-0.06599011707665614,0.13902611103888285,78.0,0.07270982157259809,0.4454291044776119
40,2.0,0.0,0.020808995968834232,0.050462714832331196,0.4333121288480553,-0.06883836332426552,0.19151397800091363,49.0,0.045702288074249614,0.5125932835820896
40,2.0,0.25,0.02153792934428056,0.04811593246100442,0.46687965772057705,-0.07285371711763078,0.19877221502609244,52.0,0.04852091849101087,0.4458955223880597
40,2.0,0.5,0.01978356809020765,0.046962430617689836,0.4405768037208472,-0.07435483246131258,0.18136910088365088,54.0,0.050325908917046414,0.4039179104477612
40,2.0,0.75,0.00952675329011421,0.043361532083906626,0.24038116622156674,-0.08168305982092428,0.0840124203114978,57.0,0.05309741316995082,0.3763992537313433
60,1.0,0.0,0.029553995310757086,0.058699562846557515,0.5255059574013214,-0.06473062389951445,0.28120309829215695,68.0,0.06340295247765447,0.773320895522388
60,1.0,0.25,0.04065739257353429,0.0560207809567879,0.7393887133306978,-0.054103789407385805,0.40363257846501965,86.0,0.08010622920261037,0.7089552238805971
60,1.0,0.5,0.04300687405411474,0.053911876339142246,0.8079810899868743,-0.054103789407385805,0.4308235751575069,103.0,0.09601654965180735,0.6674440298507462
60,1.0,0.75,0.04118219628210018,0.05194599499269686,0.8028432205090474,-0.05517044319991726,0.40966635327021694,134.0,0.12489963483691699,0.6072761194029851
60,1.25,0.0,0.03346207256336431,0.05718051835279569,0.6041784465078132,-0.06343560399985015,0.3231743197730179,62.0,0.05781279006698727,0.7467350746268657
60,1.25,0.25,0.04004177503623696,0.05388653166074499,0.7554989440053518,-0.06145881504579365,0.3965837553899605,74.0,0.06889822661777892,0.6632462686567164
60,1.25,0.5,0.04088144918294501,0.05226114545346909,0.7927880547928529,-0.06145881504579409,0.40620580903574055,86.0,0.08017380173628748,0.6124067164179104
60,1.25,0.75,0.04074474704371833,0.05049154912282635,0.8161721590488531,-0.059268909876053266,0.4046353266762841,104.0,0.09694944516032317,0.5405783582089553
60,1.5,0.0,0.028557155373778897,0.05626810978630233,0.5284972441822247,-0.06343560399984993,0.2706873436443378,52.0,0.04851059175163318,0.6930970149253731
60,1.5,0.25,0.03723038808464385,0.05254560014330565,0.7219003797081639,-0.061458815045794535,0.36478884923934185,61.0,0.05681337085904708,0.6002798507462687
60,1.5,0.5,0.038155408279893166,0.05105454117130227,0.7589315678190192,-0.06145881504579409,0.3751789562743999,68.0,0.063408390261719,0.5531716417910447
60,1.5,0.75,0.04004161576316956,0.049019827868921784,0.8253932583635052,-0.059268909876052156,0.3965819357622713,81.0,0.07553623830375085,0.4771455223880597
