strategy,label,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,avg_notional_turnover,active_day_ratio
naive,Static hedge ratio + rolling z-score,0.0,0.03007409556314422,0.045794183584074805,0.669988769961583,-0.05932831424075258,0.18310539790917124,207.5,0.2901736359217327,0.6244755244755245
naive,Static hedge ratio + rolling z-score,2.0,0.015145610930620945,0.04524791691982626,0.35486357325320855,-0.06811008392953732,0.08904480078725618,207.5,0.2901736359217327,0.76993006993007
naive,Static hedge ratio + rolling z-score,5.0,-0.0068478644825678,0.04450347989465793,-0.13213100209619763,-0.0954158036200724,-0.03824214921507507,207.5,0.2901736359217327,0.76993006993007
naive,Static hedge ratio + rolling z-score,10.0,-0.04246385070241987,0.04347371974631753,-0.9762718205170965,-0.23699683639913915,-0.21825859189391483,207.5,0.2901736359217327,0.76993006993007
kalman,Kalman state-space regression,0.0,0.044070014804474145,0.038285380031024926,1.1456664518051964,-0.03976027604318744,0.2772713751166389,217.0,0.30435280227586825,0.36153846153846153
kalman,Kalman state-space regression,2.0,0.028203880600011555,0.03764628747548063,0.757654902360062,-0.042985571790912336,0.1709676197035599,217.0,0.30435280227586825,0.5132867132867133
kalman,Kalman state-space regression,5.0,0.004849856435134692,0.03677553284675298,0.14993181560074342,-0.09477077033562287,0.027834836499018634,217.0,0.30435280227586825,0.5132867132867133
kalman,Kalman state-space regression,10.0,-0.032915478980470314,0.03557717869120666,-0.922912717794467,-0.21458573301925465,-0.1729792231103744,217.0,0.30435280227586825,0.5132867132867133
