Date,naive_return,kalman_return,naive_equity,kalman_equity
2020-07-13,0.0010686891417090736,0.0008281993602090498,1.001068689141709,1.000828199360209
2020-07-14,-0.00011668899067146011,-0.0004217667568849274,1.0009518754467803,1.000406083296366
2020-07-15,0.0018839055298014284,0.0008105402429909109,1.0028375742199998,1.0012169526862107
2020-07-16,-0.00037679741853945754,-0.0003142733604430631,1.0024597076108193,1.0009022968699575
2020-07-17,-0.0004391745162861167,0.00046494260564217463,1.0020194528536328,1.0013676589918574
2020-07-20,0.0001728490689545705,-0.0009182305378859028,1.002192650983133,1.00044817262772
2020-07-21,-0.0018023974818204749,6.717862801065345e-05,1.000386301472702,1.0005153813633527
2020-07-22,-0.0013606030456499323,-0.00022128203321459768,0.9990251728240918,1.0002939852855022
2020-07-23,0.0013189403657520868,0.0018188191996529107,1.0003428274509318,1.0021133391912367
2020-07-24,0.00023068325300858858,-0.0003296589618910029,1.000573589788492,1.0017829835481418
2020-07-27,-0.0011393056712688883,-0.0006745014857138182,0.9994336306231241,1.0011072794373757
2020-07-28,0.001363933778920048,0.0011708450959668384,1.0007967919117196,1.0022794209860417
2020-07-29,-0.002159740938134572,-0.0008869176134049918,0.9986353301094741,1.0013904817140158
2020-07-30,0.0017469590920606481,-0.00018694044293695664,1.0003799051790618,1.0012032813338112
2020-07-31,0.0008208649484137624,0.0007798855008890786,1.0012010819783208,1.001984105256366
2020-08-03,-0.0019093982436039591,-0.000750669115318275,0.999289390390897,1.0012319467345103
2020-08-04,0.00035830868948182124,0.0003076939278984885,0.9996474444627811,1.0015400197249387
2020-08-05,0.0006879408848868184,0.0002324632351880084,1.0003351428102996,1.0017728409580942
2020-08-06,-0.002085232001093918,7.652149315416683e-05,0.9982492119586927,1.0018494981116857
2020-08-07,-0.00046897173146924286,-0.0003322522820134993,0.9977810612973226,1.001516631329704
2020-08-10,0.0004267225977345038,-6.582356089628716e-05,0.9982068370237698,1.001450707938733
2020-08-11,0.0006779435973538464,6.19190516960782e-05,0.9988835649577649,1.001512716816889
2020-08-12,-5.7096187366600754e-05,0.0004039729683862264,0.9988265325145826,1.001917300881978
2020-08-13,0.0002305667280283863,-0.0003897887457909424,0.9990568286800525,1.0015267647938808
2020-08-14,0.0002901563608507966,0.0001941931728071836,0.9993467113737455,1.0017212544539873
2020-08-17,-0.00048818899726270023,-0.00181576841504446,0.9988588413048023,0.999902360639471
2020-08-18,-0.0003704021191266428,0.00044808077903284226,0.9984888618732746,1.0003503976681831
2020-08-19,0.0008036541101485889,0.00017203340316361917,0.9992913015510566,1.00052249135145
2020-08-20,-9.831992983612604e-05,0.0006825638908613415,0.9991930513004023,1.0012054118760414
2020-08-21,-0.0007424103605309918,1.5260577291651236e-05,0.9984512400269462,1.001220690848614
2020-08-24,-0.0011352542444095434,-0.0007188556299696346,0.9973177440188696,1.0005009577181554
2020-08-25,-0.00017875323203021115,2.3161259479006374e-05,0.9971394702487651,1.000524130580446
2020-08-26,-0.0005361276652720332,-0.0009102682631769934,0.9966048761926302,0.9996133852178358
2020-08-27,0.0002429100051486165,-0.00012829480466709493,0.9968469614882373,0.9994851400138366
2020-08-28,0.0005006183388518863,0.0008466607932407476,0.997346001358187,1.000331364895313
2020-08-31,-7.733702157354853e-05,4.5228451455995764e-07,0.9972688695889637,1.0003318173296987
2020-09-01,-0.0008465331403945417,-0.000340058202624251,0.9964246484409728,0.9999916462898697
2020-09-02,-0.001192995976164483,-0.0011084758131682435,0.9952359178448316,0.9988831797365871
2020-09-03,0.0013699441434315348,0.0012940572554111375,0.9965993354618159,1.0001757917626335
2020-09-04,-0.0006529914674827798,0.0015517332689713023,0.9959485645992603,1.0017277978135313
2020-09-08,0.0009179427289618577,0.0023978184588511198,0.9968627883425542,1.0041297592178728
2020-09-09,-0.0009728977581551104,-0.002152098144569799,0.9958929427705874,1.0019687734261526
2020-09-10,-0.0008567083002061488,-0.0004696768673014718,0.9950397530203992,1.001498171871516
2020-09-11,-0.002331330348422895,-0.0001868065315748303,0.9927199866462955,1.00131108547165
2020-09-14,-2.1919372713544128e-05,-0.00019224577362829886,0.992698226846908,1.001118587647381
2020-09-15,-0.000883236080549739,0.0001781919207059177,0.991821439955859,1.0012969788913684
2020-09-16,0.00026008300279157327,0.0003612511306113373,0.9920793958541959,1.0016586985570706
2020-09-17,0.0005118330550871661,0.0004831700679766499,0.9925871748822649,1.0021426700585419
2020-09-18,-9.350418189992064e-05,0.0002738438417897608,0.9924943638305131,1.0024171006573321
2020-09-21,0.0016666939697209918,0.0017493070691991378,0.9941485482016915,1.0041706359777982
2020-09-22,0.0003152176625056734,6.819734222285258e-05,0.9944619213832391,1.00423911774631
2020-09-23,0.0014829170112243256,0.002164297541723023,0.9959366258834731,1.0064125900001504
2020-09-24,0.00028354164266781166,-0.00080856321787892,0.9962190153903692,1.005598841797866
2020-09-25,0.00018732979327246353,0.001741832818435699,0.9964056368925763,1.0073504268626905
2020-09-28,0.0011162856641827275,0.0010062315028655931,0.9975179102207503,1.0083640545966248
2020-09-29,0.0007378071608714733,0.00031458901103082804,0.9982538860780087,1.0086812748473193
2020-09-30,-0.0004998126212289003,-0.00018029977424444886,0.9977549461865561,1.0084994098411797
2020-10-01,0.00043861278580482584,0.001337527336660494,0.9981925742630536,1.0098483053708482
2020-10-02,0.0007976481528811094,-2.150077285864868e-05,0.9989887807261342,1.0098265928518126
2020-10-05,0.0015883902983910953,-2.1359331060985978e-05,1.0005755648136412,1.0098050236313019
2020-10-06,-0.0003175664096427117,0.00023546737300748753,1.000257815623947,1.010042799767466
2020-10-07,8.977067554057511e-05,0.00023695287834941766,1.0003476094437702,1.010282132316127
2020-10-08,0.0016748202386502715,-4.217368114524261e-05,1.002023011865752,1.0102395249996121
2020-10-09,-0.0007741797250077065,8.800460367537017e-06,1.0012472659659744,1.0102484155725135
2020-10-12,0.0008065729362322701,-0.00014244779588285005,1.0020548449131792,1.0101045079124211
2020-10-13,-0.00011985574759810043,0.0006318707449047378,1.0019347428806078,1.0107427634002673
2020-10-14,0.0001314538419020401,-0.00020734279917210244,1.0020664510518944,1.010533193166461
