pair,engle_granger_pvalue,train_adf_pvalue,test_adf_pvalue,train_kpss_pvalue,test_kpss_pvalue,static_beta,static_beta_ci_low,static_beta_ci_high,naive_test_sharpe,naive_test_total_return,kalman_test_sharpe,kalman_test_total_return,kalman_minus_naive_sharpe,kalman_minus_naive_total_return,kalman_outperforms_on_sharpe,kalman_outperforms_on_total_return
XLI/VIS,0.010157737034691366,0.0020944655415487644,0.3948870898132586,0.01,0.01,0.5429324873351051,0.5422981476494554,0.5435668270207549,-0.3633302812823856,-0.022395954830163656,-0.004276764098236645,-0.00033990855442678214,0.35905351718414896,0.022056046275736874,1.0,1.0
MCD/YUM,0.067065481812532,0.01907218263754533,0.0058354420813318585,0.024747349439865805,0.03848062985812485,2.0361631599578276,2.015354282649051,2.056972037266604,-0.4467998313552985,-0.17146514611602148,-0.11582214571890365,-0.024619713931216203,0.33097768563639485,0.14684543218480528,1.0,1.0
HD/LOW,0.035055490857356666,0.008790142839238518,0.03672924334547205,0.01,0.01,2.012790315059573,1.9958683073712427,2.0297123227479035,-0.03718997780873248,-0.02363921792374213,0.16954562110364424,0.034034727645605,0.20673559891237672,0.05767394556934713,1.0,1.0
KO/PEP,0.076291559054098,0.02248682612636511,0.9279066709832815,0.04989484512120346,0.01,0.279361287625217,0.27617033427614956,0.28255224097428444,-0.25910010962883134,-0.09513454479711314,-0.11290044903590352,-0.04070290677343058,0.14619966059292783,0.05443163802368256,1.0,1.0
EWA/EWC,0.0009244378580610755,0.00014403873171456386,0.9855583389229527,0.01,0.01,0.7822772430775119,0.7694474377335918,0.795107048421432,0.17017960064428628,0.033869404930590985,0.24555443815477132,0.05553723089483675,0.07537483751048504,0.021667825964245768,1.0,1.0
TMO/DHR,0.044473050374208775,0.011628251460311169,0.29808779764181004,0.01,0.01,2.2713450588989357,2.2575573407483147,2.2851327770495566,-0.48669415466244836,-0.18904542136634273,-0.5080340243398545,-0.15564843703236997,-0.021339869677406087,0.03339698433397276,0.0,1.0
TLT/IEF,0.03576648357481576,0.008990409743440914,0.029243462786462227,0.1,0.01,1.9940589666248165,1.9829973431325165,2.0051205901171163,0.49748097264642654,0.0481593347089182,0.3457188335474799,0.031690409076503556,-0.15176213909894665,-0.016468925632414644,0.0,0.0
EWA/EWS,0.02653375071397206,0.006398694396791467,0.2229016185774091,0.01,0.01,0.8860566637893178,0.8660401166625102,0.9060732109161254,0.45248366267555756,0.14227149348553514,0.17933433846191035,0.0657396269452537,-0.27314932421364724,-0.07653186654028143,0.0,0.0
