strategy,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,avg_notional_turnover,active_day_ratio
naive,0.0,0.004688086487057985,0.01940906971800742,0.2506831362253002,-0.06762454589853972,0.02689621156629629,0.0,0.0,1.0
naive,2.0,0.0003741842740807577,0.019336742722589634,0.029015711482587532,-0.07180236049677169,0.002125205161163546,0.0,0.0,1.0
naive,5.0,-0.006062272599894003,0.019236759835441018,-0.3064765783319367,-0.080575908825262,-0.033917156166762386,0.0,0.0,1.0
naive,10.0,-0.016698620349736237,0.019093194540586868,-0.8723924693605521,-0.1016636749642289,-0.0911344701607314,0.0,0.0,1.0
kalman,0.0,0.010160328302227795,0.018054839881464505,0.5689420958150057,-0.03353013222233958,0.059042183475461085,0.0,0.0,0.9979020979020979
kalman,2.0,0.005977229375938364,0.01797790351452915,0.34047479614905235,-0.03509968780114492,0.034395748013315464,0.0,0.0,0.9993006993006993
kalman,5.0,-0.0002652727453171799,0.017872109721818297,-0.005913128251250335,-0.03744935303550101,-0.0015043845352993301,0.0,0.0,0.9993006993006993
kalman,10.0,-0.01058429882063161,0.01772191151127379,-0.5915568751659059,-0.07523794429588138,-0.05859497474507991,0.0,0.0,0.9993006993006993
